ItemNumb,ListID,BlockID,Shape,Texture,Color,Size,OGItemID,OGFile,ChangeType,Change,ChangeItemID,ChangeFile,Numbers,Equation1,EqAns1,Equation2,EqAns2,Equation3,EqAns3
22,1,3,Cylinder,Metallic,Purple,Medium,CylinderMetallicPurpleMedium,LMPM.png,Size,Small,CylinderMetallicPurpleSmall,LMPS.png,4873261,48 x 1,48,73 x 2,146,14 x 6,84
23,1,3,Sphere,Metallic,Red,Small,SphereMetallicRedSmall,SMRS.png,Shape,Cube,CubeMetallicRedSmall,CMRS.png,5137486,51 x 6,306,37 x 4,148,65 x 8,520
24,1,3,Pyramid,Chalky,Purple,Tiny,PyramidChalkyPurpleTiny,PCPT.png,Texture,Metallic,PyramidMetallicPurpleTiny,PMPT.png,6759238,67 x 8,536,59 x 2,118,86 x 3,258
25,1,4,Cylinder,Hairy,Purple,Tiny,CylinderHairyPurpleTiny,LHPT.png,NoChange,NoChange,CylinderHairyPurpleTiny,LHPT.png,5279486,52 x 6,312,79 x 4,316,65 x 8,520
26,1,4,Cube,Hairy,Blue,Small,CubeHairyBlueSmall,CHBS.png,Color,Purple,CubeHairyPurpleSmall,CHPS.png,4135682,41 x 2,82,35 x 6,210,24 x 8,192
27,1,4,Cube,Metallic,Yellow,Tiny,CubeMetallicYellowTiny,CMYT.png,Shape,Sphere,SphereMetallicYellowTiny,SMYT.png,8653721,86 x 1,86,53 x 7,371,18 x 2,36
28,1,4,Pyramid,Bumpy,Yellow,Small,PyramidBumpyYellowSmall,PBYS.png,Texture,Sandy,PyramidSandyYellowSmall,PSYS.png,7219534,72 x 4,288,19 x 5,95,47 x 3,141
29,1,4,Pyramid,Hairy,Red,Medium,PyramidHairyRedMedium,PHRM.png,Size,Tiny,PyramidHairyRedTiny,PHRT.png,6458379,64 x 9,576,58 x 3,174,96 x 7,672
30,1,4,Cylinder,Metallic,Blue,Medium,CylinderMetallicBlueMedium,LMBM.png,NoChange,NoChange,CylinderMetallicBlueMedium,LMBM.png,7319254,73 x 4,292,19 x 2,38,47 x 5,235
31,1,4,Cylinder,Chalky,Blue,Large,CylinderChalkyBlueLarge,LCBL.png,Color,Red,CylinderChalkyRedLarge,LCRL.png,9432685,94 x 5,470,32 x 6,192,59 x 8,472
32,1,4,Cube,Hairy,Purple,Medium,CubeHairyPurpleMedium,CHPM.png,Texture,Chalky,CubeChalkyPurpleMedium,CCPM.png,8632945,86 x 5,430,32 x 9,288,58 x 4,232
33,1,5,Sphere,Bumpy,Yellow,Tiny,SphereBumpyYellowTiny,SBYT.png,Color,Red,SphereBumpyRedTiny,SBRT.png,2376519,23 x 9,207,76 x 5,380,92 x 1,92
34,1,5,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Texture,Bumpy,PyramidBumpyRedSmall,PBRS.png,3412985,34 x 5,170,12 x 9,108,53 x 8,424
35,1,5,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png,6874295,68 x 5,340,74 x 2,148,56 x 9,504
36,1,5,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Shape,Pyramid,PyramidMetallicRedSmall,PMRS.png,5768491,57 x 1,57,68 x 4,272,15 x 9,135
37,1,5,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Color,Purple,PyramidChalkyPurpleLarge,PCPL.png,4986732,49 x 2,98,86 x 7,602,24 x 3,72
38,1,5,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Size,Large,CubeMetallicYellowLarge,CMYL.png,2514963,25 x 3,75,14 x 9,126,32 x 6,192
39,1,5,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png,2794683,27 x 3,81,94 x 6,564,32 x 8,256
40,1,5,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Shape,Cylinder,CylinderHairyPurpleSmall,LHPS.png,2841397,28 x 7,196,41 x 3,123,72 x 9,648
41,1,6,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Size,Medium,PyramidMetallicPurpleMedium,PMPM.png,2481763,24 x 3,72,81 x 7,567,32 x 6,192
42,1,6,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Texture,Metallic,CylinderMetallicBlueTiny,LMBT.png,8497231,84 x 1,84,97 x 2,194,18 x 3,54
43,1,6,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Shape,Sphere,SphereHairyYellowMedium,SHYM.png,8546192,85 x 2,170,46 x 1,46,28 x 9,252
44,1,6,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png,1832496,18 x 6,108,32 x 4,128,61 x 9,549
45,1,6,Sphere,Chalky,Yellow,Medium,SphereChalkyYellowMedium,SCYM.png,Color,Blue,SphereChalkyBlueMedium,SCBM.png,4981236,49 x 6,294,81 x 2,162,64 x 3,192
46,1,6,Cube,Hairy,Red,Medium,CubeHairyRedMedium,CHRM.png,NoChange,NoChange,CubeHairyRedMedium,CHRM.png,3962781,39 x 1,39,62 x 7,434,13 x 8,104
47,1,6,Cube,Metallic,Blue,Tiny,CubeMetallicBlueTiny,CMBT.png,Texture,Bumpy,CubeBumpyBlueTiny,CBBT.png,6215834,62 x 4,248,15 x 8,120,46 x 3,138
48,1,6,Sphere,Hairy,Yellow,Small,SphereHairyYellowSmall,SHYS.png,Color,Blue,SphereHairyBlueSmall,SHBS.png,1927648,19 x 8,152,27 x 6,162,81 x 4,324
49,1,7,Pyramid,Chalky,Blue,Tiny,PyramidChalkyBlueTiny,PCBT.png,NoChange,NoChange,PyramidChalkyBlueTiny,PCBT.png,5798346,57 x 6,342,98 x 3,294,65 x 4,260
50,1,7,Sphere,Bumpy,Purple,Large,SphereBumpyPurpleLarge,SBPL.png,Size,Small,SphereBumpyPurpleSmall,SBPS.png,2561734,25 x 4,100,61 x 7,427,42 x 3,126
51,1,7,Pyramid,Metallic,Blue,Small,PyramidMetallicBlueSmall,PMBS.png,Shape,Sphere,SphereMetallicBlueSmall,SMBS.png,6821739,68 x 9,612,21 x 7,147,96 x 3,288
52,1,7,Cylinder,Bumpy,Red,Medium,CylinderBumpyRedMedium,LBRM.png,Texture,Metallic,CylinderMetallicRedMedium,LMRM.png,1327468,13 x 8,104,27 x 4,108,81 x 6,486
53,1,7,Cylinder,Chalky,Yellow,Large,CylinderChalkyYellowLarge,LCYL.png,Size,Small,CylinderChalkyYellowSmall,LCYS.png,9245831,92 x 1,92,45 x 8,360,19 x 3,57
54,1,7,Sphere,Hairy,Blue,Large,SphereHairyBlueLarge,SHBL.png,NoChange,NoChange,SphereHairyBlueLarge,SHBL.png,7298456,72 x 6,432,98 x 4,392,67 x 5,335
55,1,7,Pyramid,Bumpy,Blue,Medium,PyramidBumpyBlueMedium,PBBM.png,Size,Tiny,PyramidBumpyBlueTiny,PBBT.png,5173462,51 x 2,102,73 x 4,292,25 x 6,150
56,1,7,Pyramid,Hairy,Blue,Large,PyramidHairyBlueLarge,PHBL.png,Shape,Cylinder,CylinderHairyBlueLarge,LHBL.png,4268193,42 x 3,126,68 x 1,68,34 x 9,306
57,1,8,Cube,Metallic,Purple,Large,CubeMetallicPurpleLarge,CMPL.png,NoChange,NoChange,CubeMetallicPurpleLarge,CMPL.png,1263458,12 x 8,96,63 x 4,252,81 x 5,405
58,1,8,Cube,Chalky,Red,Tiny,CubeChalkyRedTiny,CCRT.png,Color,Yellow,CubeChalkyYellowTiny,CCYT.png,2486395,24 x 5,120,86 x 3,258,52 x 9,468
59,1,8,Sphere,Hairy,Red,Tiny,SphereHairyRedTiny,SHRT.png,Size,Small,SphereHairyRedSmall,SHRS.png,9482713,94 x 3,282,82 x 7,574,39 x 1,39
60,1,8,Sphere,Metallic,Purple,Medium,SphereMetallicPurpleMedium,SMPM.png,Texture,Hairy,SphereHairyPurpleMedium,SHPM.png,5629483,56 x 3,168,29 x 4,116,35 x 8,280
61,1,8,Pyramid,Bumpy,Purple,Small,PyramidBumpyPurpleSmall,PBPS.png,NoChange,NoChange,PyramidBumpyPurpleSmall,PBPS.png,9741523,97 x 3,291,41 x 5,205,39 x 2,78
62,1,8,Pyramid,Hairy,Purple,Medium,PyramidHairyPurpleMedium,PHPM.png,Shape,Cylinder,CylinderHairyPurpleMedium,LHPM.png,4893261,48 x 1,48,93 x 2,186,14 x 6,84
63,1,8,Sphere,Chalky,Red,Large,SphereChalkyRedLarge,SCRL.png,Texture,Hairy,SphereHairyRedLarge,SHRL.png,9824537,98 x 7,686,24 x 5,120,79 x 3,237
64,1,8,Cylinder,Bumpy,Purple,Large,CylinderBumpyPurpleLarge,LBPL.png,Color,Yellow,CylinderBumpyYellowLarge,LBYL.png,2189736,21 x 6,126,89 x 7,623,62 x 3,186
1,2,1,Cube,Chalky,Purple,Tiny,CubeChalkyPurpleTiny,CCPT.png,Size,Medium,CubeChalkyPurpleMedium,CCPM.png,1876342,18 x 2,36,76 x 3,228,21 x 4,84
2,2,1,Sphere,Metallic,Blue,Medium,SphereMetallicBlueMedium,SMBM.png,Color,Red,SphereMetallicRedMedium,SMRM.png,5417623,54 x 3,162,17 x 6,102,35 x 2,70
3,2,1,Cylinder,Bumpy,Yellow,Small,CylinderBumpyYellowSmall,LBYS.png,NoChange,NoChange,CylinderBumpyYellowSmall,LBYS.png,1748652,17 x 2,34,48 x 6,288,21 x 5,105
4,2,1,Cube,Bumpy,Red,Large,CubeBumpyRedLarge,CBRL.png,Size,Small,CubeBumpyRedSmall,CBRS.png,8431697,84 x 7,588,31 x 6,186,78 x 9,702
5,2,1,Pyramid,Hairy,Yellow,Tiny,PyramidHairyYellowTiny,PHYT.png,NoChange,NoChange,PyramidHairyYellowTiny,PHYT.png,6214957,62 x 7,434,14 x 9,126,76 x 5,380
6,2,1,Pyramid,Bumpy,Red,Tiny,PyramidBumpyRedTiny,PBRT.png,Shape,Cube,CubeBumpyRedTiny,CBRT.png,4871639,48 x 9,432,71 x 6,426,94 x 3,282
7,2,1,Cube,Metallic,Red,Tiny,CubeMetallicRedTiny,CMRT.png,Texture,Hairy,CubeHairyRedTiny,CHRT.png,2587139,25 x 9,225,87 x 1,87,92 x 3,276
8,2,1,Cylinder,Hairy,Blue,Small,CylinderHairyBlueSmall,LHBS.png,Shape,Sphere,SphereHairyBlueSmall,SHBS.png,6495823,64 x 3,192,95 x 8,760,36 x 2,72
9,2,2,Sphere,Chalky,Purple,Tiny,SphereChalkyPurpleTiny,SCPT.png,NoChange,NoChange,SphereChalkyPurpleTiny,SCPT.png,8749321,87 x 1,87,49 x 3,147,18 x 2,36
10,2,2,Cylinder,Hairy,Red,Tiny,CylinderHairyRedTiny,LHRT.png,Color,Blue,CylinderHairyBlueTiny,LHBT.png,8492751,84 x 1,84,92 x 7,644,18 x 5,90
11,2,2,Sphere,Chalky,Blue,Tiny,SphereChalkyBlueTiny,SCBT.png,Size,Large,SphereChalkyBlueLarge,SCBL.png,7148326,71 x 6,426,48 x 3,144,67 x 2,134
12,2,2,Cube,Bumpy,Purple,Small,CubeBumpyPurpleSmall,CBPS.png,Shape,Sphere,SphereBumpyPurpleSmall,SBPS.png,4612785,46 x 5,230,12 x 7,84,54 x 8,432
13,2,2,Cylinder,Chalky,Purple,Small,CylinderChalkyPurpleSmall,LCPS.png,Texture,Metallic,CylinderMetallicPurpleSmall,LMPS.png,6871239,68 x 9,612,71 x 2,142,96 x 3,288
14,2,2,Sphere,Metallic,Yellow,Large,SphereMetallicYellowLarge,SMYL.png,NoChange,NoChange,SphereMetallicYellowLarge,SMYL.png,7354926,73 x 6,438,54 x 9,486,67 x 2,134
15,2,2,Cylinder,Metallic,Yellow,Tiny,CylinderMetallicYellowTiny,LMYT.png,Size,Small,CylinderMetallicYellowSmall,LMYS.png,3815697,38 x 7,266,15 x 6,90,73 x 9,657
16,2,2,Cube,Chalky,Blue,Medium,CubeChalkyBlueMedium,CCBM.png,Color,Red,CubeChalkyRedMedium,CCRM.png,1647538,16 x 8,128,47 x 5,235,81 x 3,243
17,2,3,Cube,Hairy,Yellow,Large,CubeHairyYellowLarge,CHYL.png,Texture,Metallic,CubeMetallicYellowLarge,CMYL.png,1623958,16 x 8,128,23 x 9,207,81 x 5,405
18,2,3,Cylinder,Chalky,Red,Large,CylinderChalkyRedLarge,LCRL.png,NoChange,NoChange,CylinderChalkyRedLarge,LCRL.png,3574681,35 x 1,35,74 x 6,444,13 x 8,104
19,2,3,Sphere,Bumpy,Blue,Small,SphereBumpyBlueSmall,SBBS.png,Texture,Chalky,SphereChalkyBlueSmall,SCBS.png,8492537,84 x 7,588,92 x 5,460,78 x 3,234
20,2,3,Pyramid,Metallic,Yellow,Medium,PyramidMetallicYellowMedium,PMYM.png,Shape,Cylinder,CylinderMetallicYellowMedium,LMYM.png,2435869,24 x 9,216,35 x 8,280,92 x 6,552
21,2,3,Cube,Bumpy,Blue,Large,CubeBumpyBlueLarge,CBBL.png,NoChange,NoChange,CubeBumpyBlueLarge,CBBL.png,2879453,28 x 3,84,79 x 4,316,32 x 5,160
22,2,3,Cylinder,Metallic,Purple,Medium,CylinderMetallicPurpleMedium,LMPM.png,Texture,Bumpy,CylinderBumpyPurpleMedium,LBPM.png,4873261,48 x 1,48,73 x 2,146,14 x 6,84
23,2,3,Sphere,Metallic,Red,Small,SphereMetallicRedSmall,SMRS.png,Size,Large,SphereMetallicRedLarge,SMRL.png,5137486,51 x 6,306,37 x 4,148,65 x 8,520
24,2,3,Pyramid,Chalky,Purple,Tiny,PyramidChalkyPurpleTiny,PCPT.png,Color,Red,PyramidChalkyRedTiny,PCRT.png,6759238,67 x 8,536,59 x 2,118,86 x 3,258
25,2,4,Cylinder,Hairy,Purple,Tiny,CylinderHairyPurpleTiny,LHPT.png,NoChange,NoChange,CylinderHairyPurpleTiny,LHPT.png,5279486,52 x 6,312,79 x 4,316,65 x 8,520
26,2,4,Cube,Hairy,Blue,Small,CubeHairyBlueSmall,CHBS.png,Shape,Pyramid,PyramidHairyBlueSmall,PHBS.png,4135682,41 x 2,82,35 x 6,210,24 x 8,192
27,2,4,Cube,Metallic,Yellow,Tiny,CubeMetallicYellowTiny,CMYT.png,Size,Small,CubeMetallicYellowSmall,CMYS.png,8653721,86 x 1,86,53 x 7,371,18 x 2,36
28,2,4,Pyramid,Bumpy,Yellow,Small,PyramidBumpyYellowSmall,PBYS.png,Color,Red,PyramidBumpyRedSmall,PBRS.png,7219534,72 x 4,288,19 x 5,95,47 x 3,141
29,2,4,Pyramid,Hairy,Red,Medium,PyramidHairyRedMedium,PHRM.png,Texture,Metallic,PyramidMetallicRedMedium,PMRM.png,6458379,64 x 9,576,58 x 3,174,96 x 7,672
30,2,4,Cylinder,Metallic,Blue,Medium,CylinderMetallicBlueMedium,LMBM.png,NoChange,NoChange,CylinderMetallicBlueMedium,LMBM.png,7319254,73 x 4,292,19 x 2,38,47 x 5,235
31,2,4,Cylinder,Chalky,Blue,Large,CylinderChalkyBlueLarge,LCBL.png,Shape,Pyramid,PyramidChalkyBlueLarge,PCBL.png,9432685,94 x 5,470,32 x 6,192,59 x 8,472
32,2,4,Cube,Hairy,Purple,Medium,CubeHairyPurpleMedium,CHPM.png,Color,Yellow,CubeHairyYellowMedium,CHYM.png,8632945,86 x 5,430,32 x 9,288,58 x 4,232
33,2,5,Sphere,Bumpy,Yellow,Tiny,SphereBumpyYellowTiny,SBYT.png,Shape,Cube,CubeBumpyYellowTiny,CBYT.png,2376519,23 x 9,207,76 x 5,380,92 x 1,92
34,2,5,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Color,Yellow,PyramidChalkyYellowSmall,PCYS.png,3412985,34 x 5,170,12 x 9,108,53 x 8,424
35,2,5,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png,6874295,68 x 5,340,74 x 2,148,56 x 9,504
36,2,5,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Size,Large,CylinderMetallicRedLarge,LMRL.png,5768491,57 x 1,57,68 x 4,272,15 x 9,135
37,2,5,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Shape,Sphere,SphereChalkyYellowLarge,SCYL.png,4986732,49 x 2,98,86 x 7,602,24 x 3,72
38,2,5,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Texture,Chalky,CubeChalkyYellowMedium,CCYM.png,2514963,25 x 3,75,14 x 9,126,32 x 6,192
39,2,5,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png,2794683,27 x 3,81,94 x 6,564,32 x 8,256
40,2,5,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Size,Medium,SphereHairyPurpleMedium,SHPM.png,2841397,28 x 7,196,41 x 3,123,72 x 9,648
41,2,6,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Texture,Bumpy,PyramidBumpyPurpleLarge,PBPL.png,2481763,24 x 3,72,81 x 7,567,32 x 6,192
42,2,6,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Color,Red,CylinderBumpyRedTiny,LBRT.png,8497231,84 x 1,84,97 x 2,194,18 x 3,54
43,2,6,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Size,Tiny,CylinderHairyYellowTiny,LHYT.png,8546192,85 x 2,170,46 x 1,46,28 x 9,252
44,2,6,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png,1832496,18 x 6,108,32 x 4,128,61 x 9,549
45,2,6,Sphere,Chalky,Yellow,Medium,SphereChalkyYellowMedium,SCYM.png,Shape,Cylinder,CylinderChalkyYellowMedium,LCYM.png,4981236,49 x 6,294,81 x 2,162,64 x 3,192
46,2,6,Cube,Hairy,Red,Medium,CubeHairyRedMedium,CHRM.png,NoChange,NoChange,CubeHairyRedMedium,CHRM.png,3962781,39 x 1,39,62 x 7,434,13 x 8,104
47,2,6,Cube,Metallic,Blue,Tiny,CubeMetallicBlueTiny,CMBT.png,Color,Purple,CubeMetallicPurpleTiny,CMPT.png,6215834,62 x 4,248,15 x 8,120,46 x 3,138
48,2,6,Sphere,Hairy,Yellow,Small,SphereHairyYellowSmall,SHYS.png,Shape,Pyramid,PyramidHairyYellowSmall,PHYS.png,1927648,19 x 8,152,27 x 6,162,81 x 4,324
49,2,7,Pyramid,Chalky,Blue,Tiny,PyramidChalkyBlueTiny,PCBT.png,NoChange,NoChange,PyramidChalkyBlueTiny,PCBT.png,5798346,57 x 6,342,98 x 3,294,65 x 4,260
50,2,7,Sphere,Bumpy,Purple,Large,SphereBumpyPurpleLarge,SBPL.png,Texture,Hairy,SphereHairyPurpleLarge,SHPL.png,2561734,25 x 4,100,61 x 7,427,42 x 3,126
51,2,7,Pyramid,Metallic,Blue,Small,PyramidMetallicBlueSmall,PMBS.png,Size,Tiny,PyramidMetallicBlueTiny,PMBT.png,6821739,68 x 9,612,21 x 7,147,96 x 3,288
52,2,7,Cylinder,Bumpy,Red,Medium,CylinderBumpyRedMedium,LBRM.png,Color,Yellow,CylinderBumpyYellowMedium,LBYM.png,1327468,13 x 8,104,27 x 4,108,81 x 6,486
53,2,7,Cylinder,Chalky,Yellow,Large,CylinderChalkyYellowLarge,LCYL.png,Texture,Metallic,CylinderMetallicYellowLarge,LMYL.png,9245831,92 x 1,92,45 x 8,360,19 x 3,57
54,2,7,Sphere,Hairy,Blue,Large,SphereHairyBlueLarge,SHBL.png,NoChange,NoChange,SphereHairyBlueLarge,SHBL.png,7298456,72 x 6,432,98 x 4,392,67 x 5,335
55,2,7,Pyramid,Bumpy,Blue,Medium,PyramidBumpyBlueMedium,PBBM.png,Texture,Chalky,PyramidChalkyBlueMedium,PCBM.png,5173462,51 x 2,102,73 x 4,292,25 x 6,150
56,2,7,Pyramid,Hairy,Blue,Large,PyramidHairyBlueLarge,PHBL.png,Size,Medium,PyramidHairyBlueMedium,PHBM.png,4268193,42 x 3,126,68 x 1,68,34 x 9,306
57,2,8,Cube,Metallic,Purple,Large,CubeMetallicPurpleLarge,CMPL.png,NoChange,NoChange,CubeMetallicPurpleLarge,CMPL.png,1263458,12 x 8,96,63 x 4,252,81 x 5,405
58,2,8,Cube,Chalky,Red,Tiny,CubeChalkyRedTiny,CCRT.png,Shape,Sphere,SphereChalkyRedTiny,SCRT.png,2486395,24 x 5,120,86 x 3,258,52 x 9,468
59,2,8,Sphere,Hairy,Red,Tiny,SphereHairyRedTiny,SHRT.png,Texture,Metallic,SphereMetallicRedTiny,SMRT.png,9482713,94 x 3,282,82 x 7,574,39 x 1,39
60,2,8,Sphere,Metallic,Purple,Medium,SphereMetallicPurpleMedium,SMPM.png,Color,Yellow,SphereMetallicYellowMedium,SMYM.png,5629483,56 x 3,168,29 x 4,116,35 x 8,280
61,2,8,Pyramid,Bumpy,Purple,Small,PyramidBumpyPurpleSmall,PBPS.png,NoChange,NoChange,PyramidBumpyPurpleSmall,PBPS.png,9741523,97 x 3,291,41 x 5,205,39 x 2,78
62,2,8,Pyramid,Hairy,Purple,Medium,PyramidHairyPurpleMedium,PHPM.png,Size,Large,PyramidHairyPurpleLarge,PHPL.png,4893261,48 x 1,48,93 x 2,186,14 x 6,84
63,2,8,Sphere,Chalky,Red,Large,SphereChalkyRedLarge,SCRL.png,Color,Yellow,SphereChalkyYellowLarge,SCYL.png,9824537,98 x 7,686,24 x 5,120,79 x 3,237
64,2,8,Cylinder,Bumpy,Purple,Large,CylinderBumpyPurpleLarge,LBPL.png,Shape,Cube,CubeBumpyPurpleLarge,CBPL.png,2189736,21 x 6,126,89 x 7,623,62 x 3,186
1,3,1,Cube,Chalky,Purple,Tiny,CubeChalkyPurpleTiny,CCPT.png,Texture,Hairy,CubeHairyPurpleTiny,CHPT.png,1876342,18 x 2,36,76 x 3,228,21 x 4,84
2,3,1,Sphere,Metallic,Blue,Medium,SphereMetallicBlueMedium,SMBM.png,Shape,Cube,CubeMetallicBlueMedium,CMBM.png,5417623,54 x 3,162,17 x 6,102,35 x 2,70
3,3,1,Cylinder,Bumpy,Yellow,Small,CylinderBumpyYellowSmall,LBYS.png,NoChange,NoChange,CylinderBumpyYellowSmall,LBYS.png,1748652,17 x 2,34,48 x 6,288,21 x 5,105
4,3,1,Cube,Bumpy,Red,Large,CubeBumpyRedLarge,CBRL.png,Texture,Metallic,CubeMetallicRedLarge,CMRL.png,8431697,84 x 7,588,31 x 6,186,78 x 9,702
5,3,1,Pyramid,Hairy,Yellow,Tiny,PyramidHairyYellowTiny,PHYT.png,NoChange,NoChange,PyramidHairyYellowTiny,PHYT.png,6214957,62 x 7,434,14 x 9,126,76 x 5,380
